Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
XQuery,5000,6,6,11,14,21,1,41,0.00%,147.2,263.1
Dynamic XQuery,5000,6,6,11,14,20,2,64,0.00%,147.3,263.2
XSLT,5000,7,6,12,15,25,2,50,0.00%,147.3,263.2
Dynamic XSLT,5000,7,6,12,16,25,2,51,0.00%,147.3,263.2
TOTAL,20000,7,6,12,15,23,1,64,0.00%,588.8,1052.3
