Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
XQuery,5000,5,4,10,14,22,1,46,0.00%,192.6,344.1
Dynamic XQuery,5000,5,4,11,15,24,1,57,0.00%,192.6,344.2
XSLT,5000,6,5,13,16,26,1,72,0.00%,192.6,344.2
Dynamic XSLT,5000,6,5,12,16,28,1,54,0.00%,192.6,344.2
TOTAL,20000,6,4,12,15,25,1,72,0.00%,770.0,1376.1
