Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC1_DXQU_4K,500,6,5,11,13,22,2,69,0.00%,2.4,11.3
TC1_DXSL_4K,500,5,4,7,10,26,2,90,0.00%,2.4,11.3
TC1_DXQU_8K,500,5,4,7,10,23,2,71,0.00%,2.4,20.7
TC1_DXSL_8K,500,5,5,8,11,19,3,62,0.00%,2.4,20.7
TC1_DXQU_16K,500,8,6,15,18,29,4,105,0.00%,2.4,39.6
TC1_DXSL_16K,500,9,7,15,19,44,4,94,0.00%,2.4,39.6
TC1_DXQU_64K,500,35,31,60,70,105,13,123,0.00%,2.4,152.6
TC1_DXSL_64K,500,37,32,56,69,110,15,155,0.00%,2.4,152.6
TC1_DXQU_512K,500,308,299,400,441,524,80,2021,0.00%,2.4,1208.4
TC1_DXSL_512K,500,327,312,457,511,600,91,1428,0.00%,2.4,1208.4
TC1_DXQU_1024K,500,627,607,797,887,1057,159,2298,0.00%,2.4,2414.5
TC1_DXSL_1024K,500,656,621,865,956,1627,168,2708,0.00%,2.4,2415.6
TOTAL,6000,169,20,586,684,925,2,2708,0.00%,29.2,7674.8
