Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC3_DXQU_4K,500,11,8,17,22,68,5,215,0.00%,1.2,5.7
TC3_DXSL_4K,500,12,10,18,23,81,6,97,0.00%,1.2,5.7
TC3_DXQU_8K,500,13,11,20,26,78,6,134,0.00%,1.2,10.5
TC3_DXSL_8K,500,18,16,26,34,82,7,209,0.00%,1.2,10.5
TC3_DXQU_16K,500,22,17,30,47,87,8,761,0.00%,1.2,20.1
TC3_DXSL_16K,500,29,25,45,72,98,12,113,0.00%,1.2,20.1
TC3_DXQU_64K,500,72,60,110,127,160,22,880,0.00%,1.2,77.6
TC3_DXSL_64K,500,94,83,143,160,201,30,794,0.00%,1.2,77.6
TC3_DXQU_512K,500,528,502,648,753,1303,207,1682,0.00%,1.2,614.2
TC3_DXSL_512K,500,694,652,873,1105,1529,228,1886,0.00%,1.2,613.8
TC3_DXQU_1024K,500,1070,986,1486,1770,2037,436,2484,0.00%,1.2,1226.6
TC3_DXSL_1024K,500,1460,1345,2036,2146,2431,546,3403,0.00%,1.2,1227.5
TOTAL,6000,335,50,1137,1385,2018,5,3403,0.00%,14.8,3893.2
