timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1429470303360,87,TC1_DXQU_4K,200,OK,Number of Users 1-1,true,,4729,1,1,87,1,0,mnuman-localdomain
1429470303449,8,TC1_DXSL_4K,200,OK,Number of Users 1-1,true,,4729,1,1,8,1,0,mnuman-localdomain
1429470303458,14,TC1_DXQU_8K,200,OK,Number of Users 1-1,true,,8669,1,1,13,1,0,mnuman-localdomain
1429470303472,6,TC1_DXSL_8K,200,OK,Number of Users 1-1,true,,8669,1,1,6,1,0,mnuman-localdomain
1429470303479,5,TC1_DXQU_16K,200,OK,Number of Users 1-1,true,,16616,1,1,4,1,0,mnuman-localdomain
1429470303484,7,TC1_DXSL_16K,200,OK,Number of Users 1-1,true,,16616,1,1,6,1,0,mnuman-localdomain
1429470303491,14,TC1_DXQU_64K,200,OK,Number of Users 1-1,true,,64033,1,1,10,1,0,mnuman-localdomain
1429470303505,16,TC1_DXSL_64K,200,OK,Number of Users 1-1,true,,64033,1,1,12,1,0,mnuman-localdomain
1429470303568,8,TC1_DXQU_4K,200,OK,Number of Users 1-2,true,,4729,2,2,8,1,0,mnuman-localdomain
1429470303576,4,TC1_DXSL_4K,200,OK,Number of Users 1-2,true,,4729,2,2,4,1,0,mnuman-localdomain
1429470303581,4,TC1_DXQU_8K,200,OK,Number of Users 1-2,true,,8669,2,2,3,1,0,mnuman-localdomain
1429470303585,4,TC1_DXSL_8K,200,OK,Number of Users 1-2,true,,8669,2,2,4,1,0,mnuman-localdomain
1429470303590,5,TC1_DXQU_16K,200,OK,Number of Users 1-2,true,,16616,2,2,4,1,0,mnuman-localdomain
1429470303595,6,TC1_DXSL_16K,200,OK,Number of Users 1-2,true,,16616,2,2,6,1,0,mnuman-localdomain
1429470303601,14,TC1_DXQU_64K,200,OK,Number of Users 1-2,true,,64033,2,2,12,1,0,mnuman-localdomain
1429470303615,15,TC1_DXSL_64K,200,OK,Number of Users 1-2,true,,64033,2,2,13,1,0,mnuman-localdomain
1429470303521,139,TC1_DXQU_512K,200,OK,Number of Users 1-1,true,,507200,2,2,95,1,0,mnuman-localdomain
1429470303630,108,TC1_DXQU_512K,200,OK,Number of Users 1-2,true,,507200,2,2,81,1,0,mnuman-localdomain
1429470303660,113,TC1_DXSL_512K,200,OK,Number of Users 1-1,true,,507200,2,2,99,1,0,mnuman-localdomain
1429470303791,10,TC1_DXQU_4K,200,OK,Number of Users 1-3,true,,4729,3,3,10,1,0,mnuman-localdomain
1429470303802,7,TC1_DXSL_4K,200,OK,Number of Users 1-3,true,,4729,3,3,6,1,0,mnuman-localdomain
1429470303809,4,TC1_DXQU_8K,200,OK,Number of Users 1-3,true,,8669,3,3,4,1,0,mnuman-localdomain
1429470303814,6,TC1_DXSL_8K,200,OK,Number of Users 1-3,true,,8669,3,3,5,1,0,mnuman-localdomain
1429470303820,5,TC1_DXQU_16K,200,OK,Number of Users 1-3,true,,16616,3,3,4,1,0,mnuman-localdomain
1429470303825,6,TC1_DXSL_16K,200,OK,Number of Users 1-3,true,,16616,3,3,6,1,0,mnuman-localdomain
1429470303832,19,TC1_DXQU_64K,200,OK,Number of Users 1-3,true,,64033,3,3,17,1,0,mnuman-localdomain
1429470303852,27,TC1_DXSL_64K,200,OK,Number of Users 1-3,true,,64033,3,3,24,1,0,mnuman-localdomain
1429470303739,201,TC1_DXSL_512K,200,OK,Number of Users 1-2,true,,507200,3,3,151,1,0,mnuman-localdomain
1429470303879,102,TC1_DXQU_512K,200,OK,Number of Users 1-3,true,,507200,3,3,85,1,0,mnuman-localdomain
1429470303992,6,TC1_DXQU_4K,200,OK,Number of Users 1-4,true,,4729,4,4,6,1,0,mnuman-localdomain
1429470303999,5,TC1_DXSL_4K,200,OK,Number of Users 1-4,true,,4729,4,4,5,1,0,mnuman-localdomain
1429470304005,4,TC1_DXQU_8K,200,OK,Number of Users 1-4,true,,8669,4,4,4,1,0,mnuman-localdomain
1429470304009,10,TC1_DXSL_8K,200,OK,Number of Users 1-4,true,,8669,4,4,10,1,0,mnuman-localdomain
1429470304019,5,TC1_DXQU_16K,200,OK,Number of Users 1-4,true,,16616,4,4,5,1,0,mnuman-localdomain
1429470304025,6,TC1_DXSL_16K,200,OK,Number of Users 1-4,true,,16616,4,4,6,1,0,mnuman-localdomain
1429470304031,21,TC1_DXQU_64K,200,OK,Number of Users 1-4,true,,64033,4,4,18,1,0,mnuman-localdomain
1429470304052,33,TC1_DXSL_64K,200,OK,Number of Users 1-4,true,,64033,4,4,31,1,0,mnuman-localdomain
1429470303773,400,TC1_DXQU_1024K,200,OK,Number of Users 1-1,true,,1013636,4,4,298,1,0,mnuman-localdomain
1429470304197,12,TC1_DXQU_4K,200,OK,Number of Users 1-5,true,,4729,5,5,12,1,0,mnuman-localdomain
1429470304209,10,TC1_DXSL_4K,200,OK,Number of Users 1-5,true,,4729,5,5,10,1,0,mnuman-localdomain
1429470304220,7,TC1_DXQU_8K,200,OK,Number of Users 1-5,true,,8669,5,5,7,1,0,mnuman-localdomain
