Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC3_DXQU_4K,500,12,9,18,23,78,5,157,0.00%,1.2,5.4
TC3_DXSL_4K,500,14,12,20,26,80,6,108,0.00%,1.2,5.4
TC3_DXQU_8K,500,13,11,21,27,72,6,139,0.00%,1.2,10.0
TC3_DXSL_8K,500,21,16,28,40,108,8,820,0.00%,1.2,10.0
TC3_DXQU_16K,500,24,18,32,43,91,9,820,0.00%,1.2,19.1
TC3_DXSL_16K,500,30,26,45,76,110,12,134,0.00%,1.2,19.1
TC3_DXQU_64K,500,73,65,119,129,168,26,215,0.00%,1.2,73.8
TC3_DXSL_64K,500,97,88,150,165,235,32,284,0.00%,1.2,73.8
TC3_DXQU_512K,500,556,515,736,893,1358,196,1502,0.00%,1.2,584.2
TC3_DXSL_512K,500,741,678,1035,1293,1584,219,1854,0.00%,1.2,584.3
TC3_DXQU_1024K,500,1106,1019,1640,1812,2015,321,2622,0.00%,1.2,1168.6
TC3_DXSL_1024K,500,1526,1432,2143,2349,2772,401,3519,0.00%,1.2,1171.4
TOTAL,6000,351,51,1200,1489,2102,5,3519,0.00%,14.1,3710.8
