Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC3_DXQU_4K,500,8,6,12,16,69,3,138,0.00%,1.1,5.0
TC3_DXSL_4K,500,10,6,14,18,78,4,824,0.00%,1.1,5.0
TC3_DXQU_8K,500,10,6,13,18,78,4,890,0.00%,1.1,9.1
TC3_DXSL_8K,500,14,12,21,31,75,6,134,0.00%,1.1,9.1
TC3_DXQU_16K,500,17,14,24,33,91,6,132,0.00%,1.1,17.5
TC3_DXSL_16K,500,26,20,39,57,120,9,191,0.00%,1.1,17.5
TC3_DXQU_64K,500,72,64,112,136,177,22,225,0.00%,1.1,67.6
TC3_DXSL_64K,500,107,90,155,180,265,29,1143,0.00%,1.1,67.6
TC3_DXQU_512K,500,592,552,806,931,1395,167,1673,0.00%,1.1,535.0
TC3_DXSL_512K,500,829,753,1172,1424,2008,305,2370,0.00%,1.1,533.7
TC3_DXQU_1024K,500,1193,1109,1650,1775,2129,315,2559,0.00%,1.1,1067.2
TC3_DXSL_1024K,500,1722,1585,2394,2598,3023,485,3440,0.00%,1.1,1068.6
TOTAL,6000,383,48,1304,1628,2349,3,3440,0.00%,12.9,3389.5
