Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC2_DXQU_4K,500,6,4,12,15,30,2,52,0.00%,2.4,10.9
TC2_DXSL_4K,500,4,4,6,11,22,2,68,0.00%,2.4,10.9
TC2_DXQU_8K,500,5,4,7,12,22,3,71,0.00%,2.4,19.9
TC2_DXSL_8K,500,5,4,9,13,21,3,76,0.00%,2.4,19.9
TC2_DXQU_16K,500,10,6,14,19,60,4,768,0.00%,2.4,38.2
TC2_DXSL_16K,500,9,6,16,19,59,5,73,0.00%,2.4,38.2
TC2_DXQU_64K,500,39,34,59,75,98,15,265,0.00%,2.4,147.2
TC2_DXSL_64K,500,38,33,59,70,96,16,113,0.00%,2.4,147.2
TC2_DXQU_512K,500,333,324,423,459,566,123,1111,0.00%,2.4,1165.5
TC2_DXSL_512K,500,324,320,414,454,567,124,1079,0.00%,2.4,1165.5
TC2_DXQU_1024K,500,663,655,801,862,1039,210,1520,0.00%,2.4,2329.3
TC2_DXSL_1024K,500,665,648,809,857,1455,224,1584,0.00%,2.4,2335.6
TOTAL,6000,175,23,629,718,852,2,1584,0.00%,28.1,7398.4
