Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
XQuery,5000,6,5,12,16,25,1,67,0.00%,166.8,298.1
Dynamic XQuery,5000,6,5,13,17,28,1,51,0.00%,166.8,298.2
XSLT,5000,7,5,14,19,32,2,69,0.00%,166.9,298.2
Dynamic XSLT,5000,7,6,15,19,33,1,76,0.00%,166.9,298.2
TOTAL,20000,6,5,13,18,30,1,76,0.00%,667.0,1192.1
