Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
XQuery,5000,5,4,11,14,22,1,55,0.00%,185.3,331.1
Dynamic XQuery,5000,5,4,11,14,22,1,64,0.00%,185.3,331.2
XSLT,5000,6,5,13,16,24,2,46,0.00%,185.3,331.2
Dynamic XSLT,5000,6,5,13,16,25,2,60,0.00%,185.3,331.2
TOTAL,20000,6,5,12,15,24,1,64,0.00%,741.0,1324.2
