Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC1_DXQU_4K,500,6,4,10,13,22,2,85,0.00%,2.6,11.8
TC1_DXSL_4K,500,5,4,8,9,27,2,78,0.00%,2.6,11.8
TC1_DXQU_8K,500,5,4,7,9,20,3,68,0.00%,2.6,21.7
TC1_DXSL_8K,500,5,4,7,10,19,3,72,0.00%,2.6,21.7
TC1_DXQU_16K,500,7,6,13,18,28,4,70,0.00%,2.6,41.5
TC1_DXSL_16K,500,8,6,15,18,28,4,66,0.00%,2.6,41.5
TC1_DXQU_64K,500,33,30,53,68,87,12,103,0.00%,2.6,159.9
TC1_DXSL_64K,500,37,32,58,71,108,16,228,0.00%,2.6,159.9
TC1_DXQU_512K,500,297,285,386,430,543,87,1120,0.00%,2.6,1265.8
TC1_DXSL_512K,500,311,296,414,458,565,107,1245,0.00%,2.6,1265.6
TC1_DXQU_1024K,500,596,584,749,832,1075,178,1608,0.00%,2.6,2529.6
TC1_DXSL_1024K,500,628,607,815,920,1134,184,1602,0.00%,2.6,2532.1
TOTAL,6000,161,20,570,660,873,2,1608,0.00%,30.6,8035.6
