Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC2_DXQU_4K,500,6,4,11,15,27,2,65,0.00%,2.3,10.8
TC2_DXSL_4K,500,7,3,6,8,17,2,786,0.00%,2.3,10.8
TC2_DXQU_8K,500,5,4,7,10,26,3,80,0.00%,2.3,19.7
TC2_DXSL_8K,500,5,4,8,12,20,3,66,0.00%,2.3,19.7
TC2_DXQU_16K,500,8,6,14,17,33,4,79,0.00%,2.3,37.8
TC2_DXSL_16K,500,8,6,14,17,31,5,58,0.00%,2.3,37.8
TC2_DXQU_64K,500,37,33,57,69,101,14,121,0.00%,2.3,145.8
TC2_DXSL_64K,500,40,33,61,72,122,14,771,0.00%,2.3,145.8
TC2_DXQU_512K,500,338,329,440,486,573,98,1112,0.00%,2.3,1154.1
TC2_DXSL_512K,500,333,323,430,506,587,172,1139,0.00%,2.3,1153.2
TC2_DXQU_1024K,500,668,652,830,895,1179,262,1505,0.00%,2.3,2303.7
TC2_DXSL_1024K,500,675,659,856,943,1243,222,1567,0.00%,2.3,2308.5
TOTAL,6000,177,22,627,729,902,2,1567,0.00%,27.9,7321.3
