Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC3_DXQU_4K,500,11,8,17,23,81,5,100,0.00%,1.2,5.6
TC3_DXSL_4K,500,14,11,18,22,76,6,930,0.00%,1.2,5.6
TC3_DXQU_8K,500,12,11,18,22,75,6,98,0.00%,1.2,10.3
TC3_DXSL_8K,500,19,15,26,32,82,8,795,0.00%,1.2,10.3
TC3_DXQU_16K,500,20,17,31,41,93,8,126,0.00%,1.2,19.8
TC3_DXSL_16K,500,30,23,44,60,94,11,810,0.00%,1.2,19.8
TC3_DXQU_64K,500,75,63,119,134,177,22,850,0.00%,1.2,76.3
TC3_DXSL_64K,500,98,82,137,150,424,29,871,0.00%,1.2,76.3
TC3_DXQU_512K,500,534,494,689,865,1280,152,1547,0.00%,1.2,604.1
TC3_DXSL_512K,500,711,661,919,1168,1559,216,2201,0.00%,1.2,604.1
TC3_DXQU_1024K,500,1073,974,1583,1769,2275,323,2709,0.00%,1.2,1207.6
TC3_DXSL_1024K,500,1473,1372,2126,2234,2721,372,3454,0.00%,1.2,1209.6
TOTAL,6000,339,48,1151,1411,2126,5,3454,0.00%,14.6,3836.6
