Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
TC1_DXQU_4K,500,6,4,11,14,29,2,65,0.00%,2.6,11.8
TC1_DXSL_4K,500,4,3,7,9,16,2,28,0.00%,2.6,11.8
TC1_DXQU_8K,500,4,4,7,10,20,3,62,0.00%,2.6,21.7
TC1_DXSL_8K,500,5,4,8,12,20,3,102,0.00%,2.6,21.7
TC1_DXQU_16K,500,7,5,11,16,26,4,75,0.00%,2.6,41.6
TC1_DXSL_16K,500,8,6,14,17,31,4,58,0.00%,2.6,41.6
TC1_DXQU_64K,500,35,30,54,66,108,12,846,0.00%,2.6,160.2
TC1_DXSL_64K,500,38,31,58,73,106,14,828,0.00%,2.6,160.2
TC1_DXQU_512K,500,293,282,380,431,538,92,1453,0.00%,2.6,1268.7
TC1_DXSL_512K,500,304,299,397,443,530,90,1299,0.00%,2.6,1268.7
TC1_DXQU_1024K,500,591,586,729,811,1325,167,1747,0.00%,2.6,2534.8
TC1_DXSL_1024K,500,629,610,800,915,1511,198,1699,0.00%,2.6,2536.0
TOTAL,6000,160,19,572,655,848,2,1747,0.00%,30.7,8057.2
